# wlstart: 490.0
# wlend: 1000.0
# countthresh: 10000
# aqpixstart: 46
# aqpixend: 963
#  wavelenth in nm 	 intensity in counts
5.416230000000000473e+02	4.211980537280703984e-01
5.421829999999999927e+02	1.085934895833333247e+00
5.427430000000000518e+02	1.276987527412280832e+00
5.433020000000000209e+02	1.919790158991228068e+00
5.438619999999999663e+02	1.882772615131578897e+00
5.444220000000000255e+02	6.045270010964913787e-01
5.449809999999999945e+02	2.185926123903508600e+00
5.455410000000000537e+02	1.863820860745614372e+00
5.461009999999999991e+02	1.559259457236842117e+00
5.466599999999999682e+02	1.215219983552631389e+00
5.472200000000000273e+02	1.450132264254386127e+00
5.477799999999999727e+02	2.332901589912279583e-01
5.483390000000000555e+02	4.418822642543862034e-01
5.488990000000000009e+02	9.267945449561403315e-01
5.494589999999999463e+02	7.318822642543857393e-01
5.500180000000000291e+02	-3.358414199561401969e-01
5.505779999999999745e+02	1.381527001096491070e+00
5.511380000000000337e+02	-1.949642269736840683e-01
5.516970000000000027e+02	5.574875274122806923e-01
5.522569999999999482e+02	-2.338966557017566755e-02
5.528160000000000309e+02	3.387112116228071512e-01
5.533759999999999764e+02	2.099191337719287856e-02
5.539360000000000355e+02	9.269568256578949450e-01
5.544950000000000045e+02	2.056601562500000036e+00
5.550549999999999500e+02	1.002040158991227781e+00
5.556140000000000327e+02	5.878252467105264945e-01
5.561739999999999782e+02	1.911585800438595495e-01
5.567340000000000373e+02	1.158527001096491427e+00
5.572930000000000064e+02	2.310101562499999872e+00
5.578529999999999518e+02	5.055401589912278393e-01
5.584120000000000346e+02	1.351848958333334849e-01
5.589719999999999800e+02	1.199044544956140212e+00
5.595309999999999491e+02	1.398864720394736638e+00
5.600910000000000082e+02	-1.425387883771929431e-01
5.606499999999999773e+02	7.897375274122806488e-01
5.612100000000000364e+02	2.239562088815789664e+00
5.617690000000000055e+02	1.869206825657894866e+00
5.623289999999999509e+02	2.078577302631557516e-02
5.628880000000000337e+02	1.821483141447368670e+00
5.634479999999999791e+02	1.600255071271929674e+00
5.640080000000000382e+02	1.269377878289473793e+00
5.645670000000000073e+02	2.258671737938596547e+00
5.651259999999999764e+02	2.502351562499999904e+00
5.656860000000000355e+02	1.149544544956140557e+00
5.662450000000000045e+02	3.419540158991228207e+00
5.668049999999999500e+02	2.233399808114034713e+00
5.673640000000000327e+02	2.845500685307017719e+00
5.679239999999999782e+02	2.466377878289473635e+00
5.684829999999999472e+02	2.666198053728070061e+00
5.690430000000000064e+02	2.300233141447368457e+00
