Date and Time 1 = Tue Apr 1 15:38:22.551 2025
Software Version 1 = 4.31.30024.0
Temperature (C) 1 = -70
Model 1 = DU920P_OE
Data Type 1 = Counts (Bg Corrected)
Acquisition Mode 1 = Single Scan
Trigger Mode 1 = Internal
Exposure Time (secs) 1 = 2
Readout Mode 1 = Full Vertical Binning
Horizontal binning 1 = 1
Extended Dynamic Range 1 = off
Horizontally flipped 1 = false
Vertical Shift Speed (usecs) 1 = 12.9
Pixel Readout Rate (MHz) 1 = 0.05
Baseline Clamp 1 = OFF
Clock Amplitude 1 = Normal
Output Amplifier 1 = Conventional
Serial Number 1 = SR1278
Pre-Amplifier Gain 1 = 4x
Spurious Noise Filter Mode 1 = No Filter
Photon counted 1 = false
Data Averaging Filter Mode 1 = No Filter
SR303i 1 = 
Wavelength (nm) 1 = 599.985
Grating Groove Density (l/mm) 1 = 299.906
Grating Blaze 1 = 500
Output Flipper Port 1 = Direct
Input Side Slit Width (um) 1 = 200
Date and Time 2 = Tue Apr 1 15:35:51.890 2025
Software Version 2 = 4.31.30024.0
Temperature (C) 2 = -70
Model 2 = DU920P_OE
Data Type 2 = Counts (Bg Corrected)
Acquisition Mode 2 = Single Scan
Trigger Mode 2 = Internal
Exposure Time (secs) 2 = 2
Readout Mode 2 = Full Vertical Binning
Horizontal binning 2 = 1
Extended Dynamic Range 2 = off
Horizontally flipped 2 = false
Vertical Shift Speed (usecs) 2 = 12.9
Pixel Readout Rate (MHz) 2 = 0.05
Baseline Clamp 2 = OFF
Clock Amplitude 2 = Normal
Output Amplifier 2 = Conventional
Serial Number 2 = SR1278
Pre-Amplifier Gain 2 = 4x
Spurious Noise Filter Mode 2 = No Filter
Photon counted 2 = false
Data Averaging Filter Mode 2 = No Filter
SR303i 2 = 
Wavelength (nm) 2 = 800.005
Grating Groove Density (l/mm) 2 = 299.906
Grating Blaze 2 = 500
Output Flipper Port 2 = Direct
Input Side Slit Width (um) 2 = 200
Glued = True

Wavelength	Spectrumeter Counts
552.50092	847.0
552.7774	853.0
553.05389	876.0
553.33038	818.0
553.60687	808.0
553.88336	837.0
554.15979	809.0
554.43628	800.0
554.71271	773.0
554.9892	753.0
555.26563	770.0
555.54205	767.0
555.81854	742.0
556.09497	774.0
556.3714	701.0
556.64783	704.0
556.92426	719.0
557.20062	676.0
557.47705	688.0
557.75348	674.0
558.02985	624.0
558.30627	667.0
558.58264	638.0
558.85907	646.0
559.13544	665.0
559.4118	622.0
559.68817	630.0
559.96454	631.0
560.24091	630.0
560.51727	605.0
560.79364	617.0
561.07001	623.0
561.34631	584.0
561.62268	599.0
561.89899	584.0
562.17535	560.0
562.45166	545.0
562.72797	544.0
563.00433	548.0
563.28064	556.0
563.55695	566.0
563.83325	546.0
564.10956	534.0
564.3858	542.0
564.66211	544.0
564.93842	532.0
565.21466	539.0
565.49097	522.0
565.76721	510.0
566.04352	541.0
566.31976	501.0
566.59601	491.0
566.87225	493.0
567.1485	517.0
567.42474	506.0
567.70099	511.0
567.97723	494.0
568.25342	495.0
568.52966	485.0
568.80585	475.0
569.08209	486.0
569.35828	515.0
569.63446	503.0
569.91071	486.0
570.18689	473.0
570.46307	497.0
570.73926	527.0
571.01544	466.0
571.29156	494.0
571.56775	473.0
571.84393	486.0
572.12006	478.0
572.39624	486.0
572.67236	493.0
572.94849	505.0
573.22467	492.0
573.50079	455.0
573.77692	501.0
574.05304	490.0
574.32916	488.0
574.60522	517.0
574.88135	485.0
575.15747	489.0
575.43353	521.0
575.70966	480.0
575.98572	507.0
576.26178	489.0
576.5379	504.0
576.81396	494.0
577.09003	499.0
577.36609	523.0
577.64215	528.0
577.91815	524.0
578.19421	499.0
578.47028	522.0
578.74628	520.0
579.02234	540.0
579.29834	531.0
579.57434	514.0
579.8504	527.0
580.1264	514.0
580.4024	542.0
580.67841	535.0
580.95441	544.0
581.23035	556.0
581.50635	547.0
581.78235	558.0
582.05829	569.0
582.33429	570.0
582.61023	573.0
582.88617	599.0
583.16211	569.0
583.43805	611.0
